Aarnet,9,1,2,19
Abilene,4,1,1,11
Agis,8,1,2,25
Ans,6,1,2,18
Arnes,34,34,34,34
Arpanet196912,3,1,2,4
Arpanet19706,5,1,3,9
Arpanet19719,7,1,3,18
Arpanet19723,10,1,3,25
Arpanet19728,10,1,3,29
Atmnet,6,1,2,21
AttMpls,6,2,3,25
Bbnplanet,8,1,3,27
Bellcanada,14,1,4,48
Belnet2007,21,21,21,21
Belnet2008,21,21,21,21
Belnet2009,21,21,21,21
Bics,16,1,3,33
Claranet,8,1,3,15
CrlNetworkServices,9,1,3,33
Darkstrand,8,1,3,28
Dataxchange,2,1,1,6
Digex,12,1,3,31
EliBackbone,6,1,2,20
Epoch,2,1,1,6
Fccn,21,1,7,23
Garr199901,15,1,8,16
Gblnet,5,3,4,8
Geant2001,8,1,2,27
Geant2009,10,1,2,34
Geant2010,12,1,2,37
Getnet,3,1,1,7
Globalcenter,2,1,1,9
Goodnet,4,1,1,17
Gridnet,3,1,1,9
Heanet,7,7,7,7
Highwinds,5,1,2,18
HostwayInternational,5,1,1,16
HurricaneElectric,5,1,2,24
Ibm,5,1,2,18
Integra,8,1,3,27
Internetmci,6,1,2,19
Iris,51,51,51,51
Itnet,11,11,11,11
KentmanJul2005,16,16,16,16
Kreonet,13,13,13,13
Layer42,2,1,1,6
Mren,6,6,6,6
Napnet,2,1,1,6
Navigata,5,1,1,13
Netrail,3,1,1,7
NetworkUsa,34,1,17,35
Noel,19,19,19,19
Nsfnet,4,1,1,13
Oxford,20,20,20,20
Packetexchange,5,1,1,21
Palmetto,45,45,45,45
Peer1,4,1,1,16
Psinet,6,1,3,24
Quest,3,1,1,20
Rediris,17,2,9,19
Renater1999,21,1,8,24
Renater2001,21,1,8,24
Sago,18,18,18,18
Sanren,5,1,2,7
Savvis,5,1,2,19
Spiralight,15,15,15,15
Sprint,3,1,1,11
Surfnet,50,50,50,50
Telecomserbia,6,6,6,6
Uninett2010,62,1,18,74
Xeex,6,1,2,24
Xspedius,10,1,3,34
York,23,23,23,23
